carga;codigo;gravidade;achado;prova
C-2026-000642;S3;baixa;cavalo tem 1493 pontos contra 419 da carreta — sensor mais pobre em uso;carreta1=HNH1D02
C-2026-000641;F1d;media;ENTREGA NAO PROVADA (encerramento tem lastro): aproximacao maxima do destino 0 km, mas a carreta saiu em manifesto novo;motivo=gps_saiu_do_destino · destino=Uberlândia · proxima=C-2026-000657
C-2026-000663;S2;baixa;buraco de sinal de 68 h no rastreio (cavalo);
C-2026-000662;S3;baixa;cavalo tem 1709 pontos contra 263 da carreta — sensor mais pobre em uso;carreta1=HMV3G86
C-2026-000662;V1;alta;a placa rastreada NUNCA esteve na origem (1865 km no minimo) — so o CAVALO esteve na origem — carreta errada no documento;origem=Fortaleza
C-2026-000662;F1;alta;FECHADA SEM PROVA NENHUMA: aproximacao maxima do destino 1726 km e a carreta nao saiu em manifesto novo;motivo=sem_prova_revisar · destino=Santa Izabel do Pará
C-2026-000661;S3;baixa;cavalo tem 4570 pontos contra 189 da carreta — sensor mais pobre em uso;carreta1=TCX3D25
C-2026-000659;F3;media;RECORTE ERRADO: fechou 2026-09-08 05:50, 24 h longe do instante com lastro (chegada+24h);chegada=2026-09-08 05:50
C-2026-000657;F3;media;RECORTE ERRADO: fechou 2026-09-06 16:17, 19 h longe do instante com lastro (saida do destino);chegada=2026-09-06 16:17
C-2026-000656;F3;media;RECORTE ERRADO: fechou 2026-09-06 19:33, 17 h longe do instante com lastro (saida do destino);chegada=2026-09-06 13:46
C-2026-000655;F3;media;RECORTE ERRADO: fechou 2026-09-07 18:38, 24 h longe do instante com lastro (chegada+24h);chegada=2026-09-07 18:38
C-2026-000654;F3;media;RECORTE ERRADO: fechou 2026-09-07 22:27, 24 h longe do instante com lastro (chegada+24h);chegada=2026-09-07 22:27
C-2026-000682;S3;baixa;cavalo tem 3001 pontos contra 479 da carreta — sensor mais pobre em uso;carreta1=TCE7I47
C-2026-000681;S3;baixa;cavalo tem 2086 pontos contra 63 da carreta — sensor mais pobre em uso;carreta1=JSX7G63
C-2026-000680;F3;media;RECORTE ERRADO: fechou 2026-09-08 10:49, 24 h longe do instante com lastro (chegada+24h);chegada=2026-09-08 10:49
C-2026-000677;F5;alta;ENTREGUE mas a carreta nunca chegou (346 km) e so o CAVALO pegou carga nova — e desengate, nao entrega;proxima do cavalo=C-2026-000684
C-2026-000676;V1;alta;a placa rastreada NUNCA esteve na origem (332 km no minimo) — nem carreta nem cavalo estiveram na origem;origem=Uberlândia
C-2026-000674;V1;alta;a placa rastreada NUNCA esteve na origem (411 km no minimo) — nem carreta nem cavalo estiveram na origem;origem=Feira de Santana
